Quarter,Category,Store,Department,Amount
"Q3, 25",Cost of Goods Sold,A,WINE ,-1954.00
"Q2, 25",Cost of Goods Sold,A,Grocery,-1823.00
"Q1, 26",Cost of Goods Sold,A,BEER ,-1712.00
"Q1, 25",Cost of Goods Sold,A,PRODUCE ,-1708.00
"Q3, 25",Cost of Goods Sold,A,DELI ,-1586.00
"Q2, 26",Cost of Goods Sold,A,TOBACCO ,-1564.00
"Q2, 26",Cost of Goods Sold,A,DELI ,-1559.00
"Q2, 26",Cost of Goods Sold,A,WINE ,-1546.00
"Q1, 26",Cost of Goods Sold,A,BAKERY ,-1476.00
"Q4, 24",Cost of Goods Sold,A,HBA ,-1451.00
"Q2, 24",Cost of Goods Sold,A,TOBACCO ,-1407.00
"Q1, 25",Cost of Goods Sold,A,BEER ,-1364.00
"Q3, 24",Cost of Goods Sold,A,Grocery,-1354.00
"Q2, 25",Cost of Goods Sold,A,DELI ,-1318.00
"Q2, 24",Cost of Goods Sold,A,TOBACCO ,-1317.00
"Q2, 25",Cost of Goods Sold,A,MEAT ,-1294.00
"Q1, 24",Cost of Goods Sold,A,TOBACCO ,-1274.00
"Q3, 24",Cost of Goods Sold,A,DELI ,-1271.00
"Q3, 25",Cost of Goods Sold,A,PRODUCE ,-1222.00
"Q4, 24",Cost of Goods Sold,A,Grocery,-1194.00
"Q3, 25",Cost of Goods Sold,A,BAKERY ,-1185.00
"Q3, 25",Cost of Goods Sold,A,DELI ,-1176.00
"Q1, 25",Cost of Goods Sold,A,Grocery,-1149.00
"Q4, 25",Cost of Goods Sold,A,DELI ,-1111.00
"Q4, 25",Cost of Goods Sold,A,MEAT ,-1071.00
"Q1, 24",Cost of Goods Sold,A,PURCHASE DISCOUNT,-1038.00
"Q4, 25",Cost of Goods Sold,A,Grocery,-1030.00
"Q1, 25",Cost of Goods Sold,A,BAKERY ,-1016.00
"Q4, 24",Cost of Goods Sold,A,TOBACCO ,-1010.00
"Q4, 24",Cost of Goods Sold,A,BAKERY ,-1009.00
"Q1, 25",Cost of Goods Sold,A,WINE ,-976.00
"Q2, 25",Cost of Goods Sold,A,BAKERY ,-962.00
"Q4, 24",Cost of Goods Sold,A,PURCHASE DISCOUNT,-920.00
"Q4, 24",Cost of Goods Sold,A,WINE ,-892.00
"Q4, 25",Cost of Goods Sold,A,BAKERY ,-880.00
"Q4, 24",Cost of Goods Sold,A,HBA ,-879.00
"Q1, 25",Cost of Goods Sold,A,DELI ,-871.00
"Q1, 26",Cost of Goods Sold,A,BAKERY ,-825.00
"Q2, 26",Cost of Goods Sold,A,BAKERY ,-756.00
"Q2, 26",Cost of Goods Sold,A,BEER ,-745.00
"Q3, 24",Cost of Goods Sold,A,TOBACCO ,-731.00
"Q4, 25",Cost of Goods Sold,A,PURCHASE DISCOUNT,-726.00
"Q2, 26",Cost of Goods Sold,A,MEAT ,-724.00
"Q1, 26",Cost of Goods Sold,A,BEER ,-702.00
"Q3, 24",Cost of Goods Sold,A,PURCHASE DISCOUNT,-700.00
"Q2, 24",Cost of Goods Sold,A,PURCHASE DISCOUNT,-695.00
"Q1, 25",Cost of Goods Sold,A,PURCHASE DISCOUNT,-683.00
"Q4, 24",Cost of Goods Sold,A,DELI ,-659.00
"Q1, 25",Cost of Goods Sold,A,BAKERY ,-614.00
"Q2, 25",Cost of Goods Sold,A,PURCHASE DISCOUNT,-611.00
"Q1, 26",Cost of Goods Sold,A,PURCHASE DISCOUNT,-586.00
"Q4, 25",Cost of Goods Sold,A,DELI ,-585.00
"Q1, 26",Cost of Goods Sold,A,DELI ,-582.00
"Q1, 26",Cost of Goods Sold,A,TOBACCO ,-582.00
"Q3, 25",Cost of Goods Sold,A,PURCHASE DISCOUNT,-573.00
"Q3, 25",Cost of Goods Sold,A,Grocery,-566.00
"Q3, 24",Cost of Goods Sold,A,DELI ,-563.00
"Q3, 25",Cost of Goods Sold,A,BAKERY ,-548.00
"Q3, 24",Cost of Goods Sold,A,BEER ,-546.00
"Q1, 25",Cost of Goods Sold,A,HBA ,-541.00
"Q1, 25",Cost of Goods Sold,A,TOBACCO ,-531.00
"Q2, 26",Cost of Goods Sold,A,PURCHASE DISCOUNT,-526.00
"Q1, 24",Cost of Goods Sold,A,Dairy,-519.00
"Q1, 26",Cost of Goods Sold,A,WINE ,-507.00
"Q3, 24",Cost of Goods Sold,A,HBA ,-499.00
"Q2, 25",Cost of Goods Sold,A,TOBACCO ,-488.00
"Q1, 26",Cost of Goods Sold,A,Grocery,-462.00
"Q3, 25",Cost of Goods Sold,A,MEAT ,-457.00
"Q1, 25",Cost of Goods Sold,A,DELI ,-440.00
"Q1, 26",Cost of Goods Sold,A,DELI ,-409.00
"Q2, 25",Cost of Goods Sold,A,BAKERY ,-362.00
"Q2, 24",Cost of Goods Sold,A,Grocery,-358.00
"Q3, 25",Cost of Goods Sold,A,TOBACCO ,-356.00
"Q3, 24",Cost of Goods Sold,A,MEAT ,-342.00
"Q2, 26",Cost of Goods Sold,A,HBA ,-316.00
"Q1, 25",Cost of Goods Sold,A,HBA ,-308.00
"Q4, 24",Cost of Goods Sold,A,DELI ,-303.00
"Q3, 25",Cost of Goods Sold,A,BAKERY ,-300.00
"Q1, 25",Cost of Goods Sold,A,MEAT ,-277.00
"Q4, 25",Cost of Goods Sold,A,TOBACCO ,-275.00
"Q3, 25",Cost of Goods Sold,A,TOBACCO ,-269.00
"Q3, 24",Cost of Goods Sold,A,WINE ,-260.00
"Q2, 24",Cost of Goods Sold,A,PRODUCE ,-256.00
"Q2, 26",Cost of Goods Sold,A,WINE ,-248.00
"Q2, 25",Cost of Goods Sold,A,FLORAL ,-240.00
"Q3, 25",Cost of Goods Sold,A,HBA ,-240.00
"Q1, 24",Cost of Goods Sold,A,MEAT ,-239.00
"Q1, 24",Cost of Goods Sold,A,TOBACCO ,-238.00
"Q1, 26",Cost of Goods Sold,A,BAKERY ,-228.00
"Q3, 24",Cost of Goods Sold,A,PRODUCE ,-218.00
"Q3, 24",Cost of Goods Sold,A,TOBACCO ,-213.00
"Q2, 24",Cost of Goods Sold,A,TOBACCO ,-202.00
"Q1, 26",Cost of Goods Sold,A,PRODUCE ,-200.00
"Q4, 24",Cost of Goods Sold,A,TOBACCO ,-182.00
"Q4, 25",Cost of Goods Sold,A,BAKERY ,-176.00
"Q2, 26",Cost of Goods Sold,A,TOBACCO ,-172.00
"Q1, 26",Cost of Goods Sold,A,TOBACCO ,-162.00
"Q2, 25",Cost of Goods Sold,A,TOBACCO ,-160.00
"Q2, 26",Cost of Goods Sold,A,PRODUCE ,-156.00
"Q2, 25",Cost of Goods Sold,A,PRODUCE ,-151.00
"Q1, 25",Cost of Goods Sold,A,TOBACCO ,-146.00
"Q4, 24",Cost of Goods Sold,A,PRODUCE ,-136.00
"Q2, 25",Cost of Goods Sold,A,HBA ,-135.00
"Q4, 25",Cost of Goods Sold,A,HBA ,-135.00
"Q1, 25",Cost of Goods Sold,A,BAKERY ,-134.00
"Q1, 24",Cost of Goods Sold,A,HBA ,-132.00
"Q1, 24",Cost of Goods Sold,A,PRODUCE ,-132.00
"Q4, 25",Cost of Goods Sold,A,PRODUCE ,-127.00
"Q1, 26",Cost of Goods Sold,A,HBA ,-122.00
"Q1, 25",Cost of Goods Sold,A,HBA ,-114.00
"Q4, 24",Cost of Goods Sold,A,Dairy,-111.00
"Q1, 25",Cost of Goods Sold,A,PRODUCE ,-101.00
"Q3, 25",Cost of Goods Sold,A,PRODUCE ,-100.00
"Q4, 24",Cost of Goods Sold,A,HBA ,-98.00
"Q1, 24",Cost of Goods Sold,A,HBA ,-98.00
"Q1, 24",Cost of Goods Sold,A,Grocery,-90.00
"Q4, 25",Cost of Goods Sold,A,TOBACCO ,-85.00
"Q1, 26",Cost of Goods Sold,A,DELI ,-81.00
"Q3, 24",Cost of Goods Sold,A,HBA ,-76.00
"Q1, 26",Cost of Goods Sold,A,WINE ,-71.00
"Q2, 26",Cost of Goods Sold,A,BAKERY ,-61.00
"Q4, 24",Cost of Goods Sold,A,BAKERY ,-57.00
"Q2, 24",Cost of Goods Sold,A,Dairy,-53.00
"Q1, 26",Cost of Goods Sold,A,TOBACCO ,-48.00
"Q4, 24",Cost of Goods Sold,A,BEER ,-40.00
"Q2, 24",Cost of Goods Sold,A,BEER ,-38.00
"Q2, 25",Cost of Goods Sold,A,TOBACCO ,-36.00
"Q1, 25",Cost of Goods Sold,A,PRODUCE ,-30.00
"Q3, 25",Cost of Goods Sold,A,PRODUCE ,-30.00
"Q3, 24",Cost of Goods Sold,A,PRODUCE ,-25.00
"Q2, 24",Cost of Goods Sold,A,Frozen,-21.00
